Mar21_red_125_0_1:1:1,300,1000,125,red,0,1,1,1,5,35
Mar21_red_250_0_1:1:1,300,1000,250,red,0,1,1,1,5,35
Mar21_red_500_0_1:1:1,300,1000,500,red,0,1,1,1,5,35
Mar21_red_1000_0_1:1:1,300,1000,1000,red,0,1,1,1,5,35
Mar21_red_2000_0_1:1:1,300,1000,2000,red,0,1,1,1,5,35
Mar21_red_4000_0_1:1:1,300,1000,4000,red,0,1,1,1,5,35
Mar21_red_125_2_1:1:1,300,1000,125,red,2,1,1,1,5,35
Mar21_red_250_2_1:1:1,300,1000,250,red,2,1,1,1,5,35
Mar21_red_500_2_1:1:1,300,1000,500,red,2,1,1,1,5,35
Mar21_red_1000_2_1:1:1,300,1000,1000,red,2,1,1,1,5,35
Mar21_red_2000_2_1:1:1,300,1000,2000,red,2,1,1,1,5,35
Mar21_red_4000_2_1:1:1,300,1000,4000,red,2,1,1,1,5,35
Mar21_red_125_4_1:1:1,300,1000,125,red,4,1,1,1,5,35
Mar21_red_250_4_1:1:1,300,1000,250,red,4,1,1,1,5,35
Mar21_red_500_4_1:1:1,300,1000,500,red,4,1,1,1,5,35
Mar21_red_1000_4_1:1:1,300,1000,1000,red,4,1,1,1,5,35
Mar21_red_2000_4_1:1:1,300,1000,2000,red,4,1,1,1,5,35
Mar21_red_4000_4_1:1:1,300,1000,4000,red,4,1,1,1,5,35
Mar21_green_125_0_1:1:1,300,1000,125,green,0,1,1,1,5,35
Mar21_green_250_0_1:1:1,300,1000,250,green,0,1,1,1,5,35
Mar21_green_500_0_1:1:1,300,1000,500,green,0,1,1,1,5,35
Mar21_green_1000_0_1:1:1,300,1000,1000,green,0,1,1,1,5,35
Mar21_green_2000_0_1:1:1,300,1000,2000,green,0,1,1,1,5,35
Mar21_green_4000_0_1:1:1,300,1000,4000,green,0,1,1,1,5,35
Mar21_green_125_2_1:1:1,300,1000,125,green,2,1,1,1,5,35
Mar21_green_250_2_1:1:1,300,1000,250,green,2,1,1,1,5,35
Mar21_green_500_2_1:1:1,300,1000,500,green,2,1,1,1,5,35
Mar21_green_1000_2_1:1:1,300,1000,1000,green,2,1,1,1,5,35
Mar21_green_2000_2_1:1:1,300,1000,2000,green,2,1,1,1,5,35
Mar21_green_4000_2_1:1:1,300,1000,4000,green,2,1,1,1,5,35
Mar21_green_125_4_1:1:1,300,1000,125,green,4,1,1,1,5,35
Mar21_green_250_4_1:1:1,300,1000,250,green,4,1,1,1,5,35
Mar21_green_500_4_1:1:1,300,1000,500,green,4,1,1,1,5,35
Mar21_green_1000_4_1:1:1,300,1000,1000,green,4,1,1,1,5,35
Mar21_green_2000_4_1:1:1,300,1000,2000,green,4,1,1,1,5,35
Mar21_green_4000_4_1:1:1,300,1000,4000,green,4,1,1,1,5,35
Mar21_blue_125_0_1:1:1,300,1000,125,blue,0,1,1,1,5,35
Mar21_blue_250_0_1:1:1,300,1000,250,blue,0,1,1,1,5,35
Mar21_blue_500_0_1:1:1,300,1000,500,blue,0,1,1,1,5,35
Mar21_blue_1000_0_1:1:1,300,1000,1000,blue,0,1,1,1,5,35
Mar21_blue_2000_0_1:1:1,300,1000,2000,blue,0,1,1,1,5,35
Mar21_blue_4000_0_1:1:1,300,1000,4000,blue,0,1,1,1,5,35
Mar21_blue_125_2_1:1:1,300,1000,125,blue,2,1,1,1,5,35
Mar21_blue_250_2_1:1:1,300,1000,250,blue,2,1,1,1,5,35
Mar21_blue_500_2_1:1:1,300,1000,500,blue,2,1,1,1,5,35
Mar21_blue_1000_2_1:1:1,300,1000,1000,blue,2,1,1,1,5,35
Mar21_blue_2000_2_1:1:1,300,1000,2000,blue,2,1,1,1,5,35
Mar21_blue_4000_2_1:1:1,300,1000,4000,blue,2,1,1,1,5,35
Mar21_blue_125_4_1:1:1,300,1000,125,blue,4,1,1,1,5,35
Mar21_blue_250_4_1:1:1,300,1000,250,blue,4,1,1,1,5,35
Mar21_blue_500_4_1:1:1,300,1000,500,blue,4,1,1,1,5,35
Mar21_blue_1000_4_1:1:1,300,1000,1000,blue,4,1,1,1,5,35
Mar21_blue_2000_4_1:1:1,300,1000,2000,blue,4,1,1,1,5,35
Mar21_blue_4000_4_1:1:1,300,1000,4000,blue,4,1,1,1,5,35
